"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4907,"event",734,704,"2025-01-21",NA,"TEMP436"
4908,"bounds",974,564,"2025-01-21",NA,"TEMP437"
4908,"event",854,694,"2025-01-21",NA,"TEMP438"
4909,"bounds",994,424,"2025-01-21",NA,"TEMP439"
4909,"event",824,614,"2025-01-21",NA,"TEMP440"
4910,"bounds",1234,514,"2025-01-21",NA,"TEMP441"
4910,"event",1004,744,"2025-01-21",NA,"TEMP442"
4911,"bounds",9374,5964,"2025-01-26",NA,"TEMP443"
4911,"event",8704,7044,"2025-01-26",NA,"TEMP444"
4913,"bounds",484,190,"2025-01-21",NA,"TEMP445"
4913,"event",374,274,"2025-01-21",NA,"TEMP446"
4914,"bounds",674,304,"2025-01-26",NA,"TEMP447"
4914,"event",654,354,"2025-01-26",NA,"TEMP448"
4916,"bounds",2704,4,"2025-01-21",NA,"TEMP449"
4916,"event",1874,824,"2025-01-21",NA,"TEMP450"
4917,"bounds",724,314,"2025-01-21",NA,"TEMP451"
4917,"event",604,454,"2025-01-21",NA,"TEMP452"
4918,"bounds",4294,234,"2025-01-26",NA,"TEMP453"
4918,"event",4104,424,"2025-01-26",NA,"TEMP454"
4920,"bounds",554,284,"2025-01-21",NA,"TEMP455"
4920,"event",464,374,"2025-01-21",NA,"TEMP456"
4922,"bounds",494,320,"2025-01-21",NA,"TEMP457"
4922,"event",434,364,"2025-01-21",NA,"TEMP458"
4923,"bounds",554,484,"2025-01-21",NA,"TEMP459"
4923,"event",524,504,"2025-01-21",NA,"TEMP460"
4924,"bounds",544,504,"2025-01-21",NA,"TEMP461"
4924,"event",524,514,"2025-01-21",NA,"TEMP462"
4932,"bounds",554,374,"2025-01-21",NA,"TEMP463"
4932,"event",504,434,"2025-01-21",NA,"TEMP464"
4938,"bounds",2924,514,"2025-01-21",NA,"TEMP465"
4938,"event",2754,674,"2025-01-21",NA,"TEMP466"
4947,"bounds",704,574,"2025-01-21",NA,"TEMP467"
4947,"event",664,624,"2025-01-21",NA,"TEMP468"
4952,"bounds",914,564,"2025-01-21",NA,"TEMP469"
4952,"event",794,674,"2025-01-21",NA,"TEMP470"
4953,"bounds",644,454,"2025-01-21",NA,"TEMP471"
4953,"event",584,514,"2025-01-21",NA,"TEMP472"
4954,"bounds",1864,834,"2025-01-26",NA,"TEMP473"
4954,"event",1814,924,"2025-01-26",NA,"TEMP474"
4955,"bounds",584,464,"2025-01-21",NA,"TEMP475"
4955,"event",544,504,"2025-01-21",NA,"TEMP476"
4956,"bounds",484,314,"2025-01-21",NA,"TEMP477"
4956,"event",434,354,"2025-01-21",NA,"TEMP478"
4957,"bounds",544,364,"2025-01-21",NA,"TEMP479"
4957,"event",494,424,"2025-01-21",NA,"TEMP480"
4958,"bounds",594,394,"2025-01-21",NA,"TEMP481"
4958,"event",534,464,"2025-01-21",NA,"TEMP482"
4962,"bounds",714,564,"2025-01-21",NA,"TEMP483"
4962,"event",674,614,"2025-01-21",NA,"TEMP484"
4963,"bounds",914,744,"2025-01-21",NA,"TEMP485"
4963,"event",874,794,"2025-01-21",NA,"TEMP486"
4965,"bounds",1054,524,"2025-01-21",NA,"TEMP487"
4965,"event",884,704,"2025-01-21",NA,"TEMP488"
4967,"bounds",874,604,"2025-01-21",NA,"TEMP489"
4967,"event",784,684,"2025-01-21",NA,"TEMP490"
4968,"bounds",764,674,"2025-01-21",NA,"TEMP491"
4968,"event",734,694,"2025-01-21",NA,"TEMP492"
4969,"bounds",774,684,"2025-01-21",NA,"TEMP493"
4969,"event",744,704,"2025-01-21",NA,"TEMP494"
4970,"bounds",1274,374,"2025-01-21",NA,"TEMP495"
4970,"event",964,664,"2025-01-21",NA,"TEMP496"
4971,"bounds",854,664,"2025-01-21",NA,"TEMP497"
4971,"event",794,714,"2025-01-21",NA,"TEMP498"
4972,"bounds",1254,584,"2025-01-21",NA,"TEMP499"
4972,"event",1024,814,"2025-01-21",NA,"TEMP500"
4973,"bounds",794,644,"2025-01-21",NA,"TEMP501"
4973,"event",744,684,"2025-01-21",NA,"TEMP502"
4974,"bounds",944,604,"2025-01-21",NA,"TEMP503"
4974,"event",834,714,"2025-01-21",NA,"TEMP504"
4975,"bounds",1144,254,"2025-01-21",NA,"TEMP505"
4975,"event",834,564,"2025-01-21",NA,"TEMP506"
4976,"bounds",1184,754,"2025-01-21",NA,"TEMP507"
4976,"event",1064,874,"2025-01-21",NA,"TEMP508"
4977,"bounds",954,744,"2025-01-21",NA,"TEMP509"
4977,"event",904,804,"2025-01-21",NA,"TEMP510"
4978,"bounds",1354,4,"2025-01-21",NA,"TEMP511"
4978,"event",884,474,"2025-01-21",NA,"TEMP512"
4979,"bounds",694,614,"2025-01-21",NA,"TEMP513"
4979,"event",674,644,"2025-01-21",NA,"TEMP514"
4980,"bounds",874,664,"2025-01-21",NA,"TEMP515"
4980,"event",804,714,"2025-01-21",NA,"TEMP516"
4981,"bounds",1364,1274,"2025-01-21",NA,"TEMP517"
4981,"event",1344,1304,"2025-01-21",NA,"TEMP518"
4986,"bounds",954,424,"2025-01-21",NA,"TEMP519"
4986,"event",764,594,"2025-01-21",NA,"TEMP520"
4988,"bounds",7434,3054,"2025-01-21",NA,"TEMP521"
4988,"event",6084,4414,"2025-01-21",NA,"TEMP522"
4990,"bounds",1024,794,"2025-01-21",NA,"TEMP523"
4990,"event",954,874,"2025-01-21",NA,"TEMP524"
4991,"bounds",25574,23854,"2025-01-21",NA,"TEMP525"
4991,"event",25004,24424,"2025-01-21",NA,"TEMP526"
4992,"bounds",684,534,"2025-01-21",NA,"TEMP527"
4992,"event",634,574,"2025-01-21",NA,"TEMP528"
4993,"bounds",1344,114,"2025-01-26",NA,"TEMP529"
4993,"event",1064,314,"2025-01-26",NA,"TEMP530"
4995,"bounds",4084,3644,"2025-01-21",NA,"TEMP531"
4995,"event",3964,3774,"2025-01-21",NA,"TEMP532"
4996,"bounds",1834,904,"2025-01-21",NA,"TEMP533"
4996,"event",1514,1224,"2025-01-21",NA,"TEMP534"
4997,"bounds",934,754,"2025-01-21",NA,"TEMP535"
4997,"event",874,814,"2025-01-21",NA,"TEMP536"
4998,"bounds",1584,234,"2025-01-21",NA,"TEMP537"
4998,"event",1124,694,"2025-01-21",NA,"TEMP538"
4999,"bounds",684,544,"2025-01-21",NA,"TEMP539"
4999,"event",644,584,"2025-01-21",NA,"TEMP540"
5000,"bounds",1574,1004,"2025-01-21",NA,"TEMP541"
5000,"event",1394,1194,"2025-01-21",NA,"TEMP542"
5003,"bounds",834,184,"2025-01-21",NA,"TEMP543"
5003,"event",624,404,"2025-01-21",NA,"TEMP544"
5004,"bounds",514,334,"2025-01-21",NA,"TEMP545"
5004,"event",464,374,"2025-01-21",NA,"TEMP546"
5005,"bounds",1904,1154,"2025-01-26",NA,"TEMP547"
5005,"event",1754,1224,"2025-01-26",NA,"TEMP548"
5006,"bounds",4734,534,"2025-01-21",NA,"TEMP549"
5006,"event",3414,1864,"2025-01-21",NA,"TEMP550"
5008,"bounds",11194,5584,"2025-01-21",NA,"TEMP551"
5008,"event",9494,7274,"2025-01-21",NA,"TEMP552"
5009,"bounds",11274,10374,"2025-01-21",NA,"TEMP553"
5009,"event",11024,10654,"2025-01-21",NA,"TEMP554"
5012,"bounds",9900,7000,"2025-01-26",NA,"TEMP555"
5012,"event",9600,7200,"2025-01-26",NA,"TEMP556"
5013,"bounds",2114,1294,"2025-01-21",NA,"TEMP557"
5013,"event",1854,1564,"2025-01-21",NA,"TEMP558"
5014,"bounds",15924,13334,"2025-01-21",NA,"TEMP559"
5014,"event",15074,14184,"2025-01-21",NA,"TEMP560"
5015,"bounds",20200,15600,"2025-01-21",NA,"TEMP561"
5015,"event",18900,17000,"2025-01-21",NA,"TEMP562"
5016,"bounds",30074,25164,"2025-01-21",NA,"TEMP563"
5016,"event",28444,26804,"2025-01-21",NA,"TEMP564"
5017,"bounds",22594,19554,"2025-01-21",NA,"TEMP565"
5017,"event",21624,20524,"2025-01-21",NA,"TEMP566"
5022,"bounds",2244,-66,"2025-01-21",NA,"TEMP567"
5022,"event",1544,624,"2025-01-21",NA,"TEMP568"
5023,"bounds",5714,834,"2025-01-26",NA,"TEMP569"
5023,"event",4944,1204,"2025-01-26",NA,"TEMP570"
5024,"bounds",854,674,"2025-01-21",NA,"TEMP571"
5024,"event",794,724,"2025-01-21",NA,"TEMP572"
5030,"bounds",15184,8664,"2025-01-21",NA,"TEMP573"
5030,"event",12934,10864,"2025-01-21",NA,"TEMP574"
5035,"bounds",10974,9524,"2025-01-21",NA,"TEMP575"
5035,"event",10474,10014,"2025-01-21",NA,"TEMP576"
5036,"bounds",14214,1714,"2025-01-26",NA,"TEMP577"
5036,"event",11244,3144,"2025-01-26",NA,"TEMP578"
5037,"bounds",3714,214,"2025-01-21",NA,"TEMP579"
5037,"event",2614,1294,"2025-01-21",NA,"TEMP580"
5042,"bounds",484,284,"2025-01-21",NA,"TEMP581"
5042,"event",434,334,"2025-01-21",NA,"TEMP582"
5043,"bounds",1134,744,"2025-01-21",NA,"TEMP583"
5043,"event",1004,874,"2025-01-21",NA,"TEMP584"
5044,"bounds",724,504,"2025-01-26",NA,"TEMP585"
5044,"event",664,564,"2025-01-26",NA,"TEMP586"
5045,"bounds",11144,904,"2025-01-26",NA,"TEMP587"
5045,"event",10644,1244,"2025-01-26",NA,"TEMP588"
5046,"bounds",21000,0,"2025-01-26",NA,"TEMP589"
5046,"event",21000,0,"2025-01-26",NA,"TEMP590"
5049,"bounds",1534,764,"2025-01-21",NA,"TEMP591"
5049,"event",1274,1024,"2025-01-21",NA,"TEMP592"
5050,"bounds",1094,474,"2025-01-21",NA,"TEMP593"
5050,"event",884,684,"2025-01-21",NA,"TEMP594"
5051,"bounds",974,324,"2025-01-21",NA,"TEMP595"
5051,"event",764,544,"2025-01-21",NA,"TEMP596"
5052,"bounds",744,134,"2025-01-21",NA,"TEMP597"
5052,"event",534,344,"2025-01-21",NA,"TEMP598"
5053,"bounds",7434,6994,"2025-01-21",NA,"TEMP599"
5053,"event",7314,7124,"2025-01-21",NA,"TEMP600"
5054,"bounds",3744,894,"2025-01-21",NA,"TEMP601"
5054,"event",2874,1764,"2025-01-21",NA,"TEMP602"
5058,"bounds",2484,1104,"2025-01-21",NA,"TEMP603"
5058,"event",2034,1554,"2025-01-21",NA,"TEMP604"
5059,"bounds",8094,7184,"2025-01-21",NA,"TEMP605"
5059,"event",7784,7494,"2025-01-21",NA,"TEMP606"
5060,"bounds",45234,8754,"2025-01-21",NA,"TEMP607"
5060,"event",34204,19814,"2025-01-21",NA,"TEMP608"
5063,"bounds",794,474,"2025-01-21",NA,"TEMP609"
5063,"event",694,584,"2025-01-21",NA,"TEMP610"
5068,"bounds",2534,2034,"2025-01-21",NA,"TEMP611"
5068,"event",2364,2184,"2025-01-21",NA,"TEMP612"
5071,"bounds",12600,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP613"
5071,"event",7100,1900,"2025-01-21",NA,"TEMP614"
5088,"bounds",12494,6824,"2025-01-21",NA,"TEMP615"
5088,"event",10594,8704,"2025-01-21",NA,"TEMP616"
5089,"bounds",1234,524,"2025-01-21",NA,"TEMP617"
5089,"event",984,724,"2025-01-21",NA,"TEMP618"
5103,"bounds",1114,854,"2025-01-21",NA,"TEMP619"
5103,"event",1034,934,"2025-01-21",NA,"TEMP620"
5104,"bounds",714,554,"2025-01-21",NA,"TEMP621"
5104,"event",664,594,"2025-01-21",NA,"TEMP622"
5105,"bounds",734,534,"2025-01-21",NA,"TEMP623"
5105,"event",664,584,"2025-01-21",NA,"TEMP624"
5106,"bounds",764,614,"2025-01-21",NA,"TEMP625"
5106,"event",714,664,"2025-01-21",NA,"TEMP626"
5107,"bounds",1384,464,"2025-01-21",NA,"TEMP627"
5107,"event",1074,774,"2025-01-21",NA,"TEMP628"
5108,"bounds",1664,674,"2025-01-21",NA,"TEMP629"
5108,"event",1314,1014,"2025-01-21",NA,"TEMP630"
5118,"bounds",1954,1054,"2025-01-21",NA,"TEMP631"
5118,"event",1654,1364,"2025-01-21",NA,"TEMP632"
5126,"bounds",2054,504,"2025-01-21",NA,"TEMP633"
5126,"event",1524,1034,"2025-01-21",NA,"TEMP634"
5177,"bounds",3284,2174,"2025-01-21",NA,"TEMP635"
5177,"event",2904,2544,"2025-01-21",NA,"TEMP636"
5178,"bounds",4874,3674,"2025-01-21",NA,"TEMP637"
5178,"event",4464,4094,"2025-01-21",NA,"TEMP638"
5181,"bounds",1014,424,"2025-01-21",NA,"TEMP639"
5181,"event",824,604,"2025-01-21",NA,"TEMP640"
5188,"bounds",47500,30100,"2025-01-21",NA,"TEMP641"
5188,"event",42000,34800,"2025-01-21",NA,"TEMP642"
5190,"bounds",6500,524,"2025-01-26",NA,"TEMP643"
5190,"event",6500,584,"2025-01-26",NA,"TEMP644"
5192,"bounds",514,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP645"
5192,"event",304,74,"2025-01-21",NA,"TEMP646"
5199,"bounds",2204,814,"2025-01-21",NA,"TEMP647"
5199,"event",1734,1294,"2025-01-21",NA,"TEMP648"
5206,"bounds",9894,812,"2025-01-26",NA,"TEMP649"
5206,"event",9754,924,"2025-01-26",NA,"TEMP650"
5212,"bounds",10354,0,"2025-01-26",NA,"TEMP651"
5212,"event",9584,0,"2025-01-26",NA,"TEMP652"
5215,"bounds",48000,21700,"2025-01-21",NA,"TEMP653"
5215,"event",39000,30700,"2025-01-21",NA,"TEMP654"
5217,"bounds",29944,25254,"2025-01-21",NA,"TEMP655"
5217,"event",28374,26834,"2025-01-21",NA,"TEMP656"
5218,"bounds",18934,14984,"2025-01-21",NA,"TEMP657"
5218,"event",17624,16314,"2025-01-21",NA,"TEMP658"
5219,"bounds",21974,16714,"2025-01-21",NA,"TEMP659"
5219,"event",20214,18494,"2025-01-21",NA,"TEMP660"
5220,"bounds",14054,13364,"2025-01-21",NA,"TEMP661"
5220,"event",13804,13594,"2025-01-21",NA,"TEMP662"
5222,"bounds",10684,344,"2025-01-26",NA,"TEMP663"
5222,"event",8564,644,"2025-01-26",NA,"TEMP664"
5226,"bounds",28002,0,"2025-01-26",NA,"TEMP665"
5226,"event",24832,0,"2025-01-26",NA,"TEMP666"
5230,"bounds",1414,54,"2025-01-21",NA,"TEMP667"
5230,"event",944,524,"2025-01-21",NA,"TEMP668"
5231,"bounds",794,544,"2025-01-21",NA,"TEMP669"
5231,"event",714,624,"2025-01-21",NA,"TEMP670"
5232,"bounds",804,604,"2025-01-21",NA,"TEMP671"
5232,"event",734,674,"2025-01-21",NA,"TEMP672"
5235,"bounds",20500,13800,"2025-01-21",NA,"TEMP673"
5235,"event",18700,16300,"2025-01-21",NA,"TEMP674"
5236,"bounds",15314,11354,"2025-01-21",NA,"TEMP675"
5236,"event",14054,12654,"2025-01-21",NA,"TEMP676"
5237,"bounds",11994,1024,"2025-01-21",NA,"TEMP677"
5237,"event",8624,4384,"2025-01-21",NA,"TEMP678"
5239,"bounds",2694,0,"2025-01-26",NA,"TEMP679"
5239,"event",2624,0,"2025-01-26",NA,"TEMP680"
5240,"bounds",844,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP681"
5240,"event",524,194,"2025-01-21",NA,"TEMP682"
5243,"bounds",2714,294,"2025-01-21",NA,"TEMP683"
5243,"event",1974,1034,"2025-01-21",NA,"TEMP684"
5246,"bounds",10134,7884,"2025-01-21",NA,"TEMP685"
5246,"event",9384,8534,"2025-01-21",NA,"TEMP686"
5259,"bounds",36164,25464,"2025-01-21",NA,"TEMP687"
5259,"event",32594,29114,"2025-01-21",NA,"TEMP688"
5312,"bounds",6744,3354,"2025-01-26",NA,"TEMP689"
5312,"event",6434,4054,"2025-01-26",NA,"TEMP690"
5313,"bounds",967,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP691"
5313,"event",632,84,"2025-01-26",NA,"TEMP692"
5314,"bounds",13394,-56,"2025-01-26",NA,"TEMP693"
5314,"event",13034,234,"2025-01-26",NA,"TEMP694"
5322,"bounds",2024,1144,"2025-01-21",NA,"TEMP695"
5322,"event",1744,1404,"2025-01-21",NA,"TEMP696"
5324,"bounds",804,434,"2025-01-21",NA,"TEMP697"
5324,"event",674,564,"2025-01-21",NA,"TEMP698"
5326,"bounds",704,254,"2025-01-21",NA,"TEMP699"
5326,"event",554,414,"2025-01-21",NA,"TEMP700"
5327,"bounds",1094,24,"2025-01-21",NA,"TEMP701"
5327,"event",714,404,"2025-01-21",NA,"TEMP702"
5328,"bounds",7544,5854,"2025-01-21",NA,"TEMP703"
5328,"event",6974,6424,"2025-01-21",NA,"TEMP704"
5331,"bounds",12624,324,"2025-01-21",NA,"TEMP705"
5331,"event",8764,4144,"2025-01-21",NA,"TEMP706"
5334,"bounds",12194,10074,"2025-01-21",NA,"TEMP707"
5334,"event",11514,10794,"2025-01-21",NA,"TEMP708"
5335,"bounds",3034,2004,"2025-01-21",NA,"TEMP709"
5335,"event",2694,2354,"2025-01-21",NA,"TEMP710"
5340,"bounds",14984,2074,"2025-01-21",NA,"TEMP711"
5340,"event",11044,5994,"2025-01-21",NA,"TEMP712"
5343,"bounds",17100,5400,"2025-01-21",NA,"TEMP713"
5343,"event",13100,9300,"2025-01-21",NA,"TEMP714"
5347,"bounds",1854,1264,"2025-01-21",NA,"TEMP715"
5347,"event",1654,1434,"2025-01-21",NA,"TEMP716"
5352,"bounds",1034,294,"2025-01-21",NA,"TEMP717"
5352,"event",784,554,"2025-01-21",NA,"TEMP718"
5356,"bounds",1164,414,"2025-01-21",NA,"TEMP719"
5356,"event",914,674,"2025-01-21",NA,"TEMP720"
5363,"bounds",674,174,"2025-01-21",NA,"TEMP721"
5363,"event",524,334,"2025-01-21",NA,"TEMP722"
5365,"bounds",5184,2544,"2025-01-21",NA,"TEMP723"
5365,"event",4314,3314,"2025-01-21",NA,"TEMP724"
5369,"bounds",3324,-26,"2025-01-26",NA,"TEMP725"
5369,"event",2804,64,"2025-01-26",NA,"TEMP726"
5385,"bounds",1224,594,"2025-01-21",NA,"TEMP727"
5385,"event",1004,804,"2025-01-21",NA,"TEMP728"
5386,"bounds",13644,13144,"2025-01-21",NA,"TEMP729"
5386,"event",13494,13314,"2025-01-21",NA,"TEMP730"
5387,"bounds",884,154,"2025-01-21",NA,"TEMP731"
5387,"event",634,404,"2025-01-21",NA,"TEMP732"
5389,"bounds",7864,0,"2025-01-26",NA,"TEMP733"
5389,"event",7064,0,"2025-01-26",NA,"TEMP734"
5395,"bounds",1494,564,"2025-01-21",NA,"TEMP735"
5395,"event",1184,874,"2025-01-21",NA,"TEMP736"
5396,"bounds",1654,674,"2025-01-21",NA,"TEMP737"
5396,"event",1324,1014,"2025-01-21",NA,"TEMP738"
5417,"bounds",23804,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP739"
5417,"event",16044,5814,"2025-01-21",NA,"TEMP740"
5419,"bounds",1344,964,"2025-01-21",NA,"TEMP741"
5419,"event",1224,1094,"2025-01-21",NA,"TEMP742"
5420,"bounds",3344,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP743"
5420,"event",2234,804,"2025-01-21",NA,"TEMP744"
5421,"bounds",31844,26954,"2025-01-21",NA,"TEMP745"
5421,"event",30174,28604,"2025-01-21",NA,"TEMP746"
5422,"bounds",17644,15694,"2025-01-21",NA,"TEMP747"
5422,"event",16994,16344,"2025-01-21",NA,"TEMP748"
5440,"bounds",3804,3104,"2025-01-21",NA,"TEMP749"
5440,"event",3574,3334,"2025-01-21",NA,"TEMP750"
5449,"bounds",674,434,"2025-01-21",NA,"TEMP751"
5449,"event",604,504,"2025-01-21",NA,"TEMP752"
5453,"bounds",2174,464,"2025-01-26",NA,"TEMP753"
5453,"event",1594,1034,"2025-01-26",NA,"TEMP754"
5472,"bounds",14454,644,"2025-01-26",NA,"TEMP755"
5472,"event",11714,944,"2025-01-26",NA,"TEMP756"
5475,"bounds",1524,554,"2025-01-21",NA,"TEMP757"
5475,"event",1204,884,"2025-01-21",NA,"TEMP758"
5476,"bounds",964,754,"2025-01-21",NA,"TEMP759"
5476,"event",904,814,"2025-01-21",NA,"TEMP760"
5479,"bounds",654,554,"2025-01-21",NA,"TEMP761"
5479,"event",634,574,"2025-01-21",NA,"TEMP762"
5480,"bounds",8104,6444,"2025-01-21",NA,"TEMP763"
5480,"event",7594,7014,"2025-01-21",NA,"TEMP764"
5481,"bounds",1944,-6,"2025-01-26",NA,"TEMP765"
5481,"event",1274,604,"2025-01-26",NA,"TEMP766"
5487,"bounds",2914,2054,"2025-01-21",NA,"TEMP767"
5487,"event",2634,2344,"2025-01-21",NA,"TEMP768"
5488,"bounds",1784,1654,"2025-01-21",NA,"TEMP769"
5488,"event",1754,1694,"2025-01-21",NA,"TEMP770"
5492,"bounds",894,354,"2025-01-21",NA,"TEMP771"
5492,"event",704,544,"2025-01-21",NA,"TEMP772"
5493,"bounds",1824,44,"2025-01-26",NA,"TEMP773"
5493,"event",1504,564,"2025-01-26",NA,"TEMP774"
5495,"bounds",10974,-36,"2025-01-26",NA,"TEMP775"
5495,"event",9944,0,"2025-01-26",NA,"TEMP776"
5496,"bounds",1214,804,"2025-01-21",NA,"TEMP777"
5496,"event",1074,944,"2025-01-21",NA,"TEMP778"
5497,"bounds",954,804,"2025-01-21",NA,"TEMP779"
5497,"event",914,844,"2025-01-21",NA,"TEMP780"
5498,"bounds",1644,314,"2025-01-21",NA,"TEMP781"
5498,"event",1194,764,"2025-01-21",NA,"TEMP782"
5499,"bounds",11700,464,"2025-01-26",NA,"TEMP783"
5499,"event",11700,734,"2025-01-26",NA,"TEMP784"
5517,"bounds",37244,27084,"2025-01-21",NA,"TEMP785"
5517,"event",34194,30234,"2025-01-21",NA,"TEMP786"
5518,"bounds",14984,13064,"2025-01-21",NA,"TEMP787"
5518,"event",14304,13724,"2025-01-21",NA,"TEMP788"
5532,"bounds",724,664,"2025-01-21",NA,"TEMP789"
5532,"event",704,684,"2025-01-21",NA,"TEMP790"
5534,"bounds",694,654,"2025-01-21",NA,"TEMP791"
5534,"event",684,664,"2025-01-21",NA,"TEMP792"
5536,"bounds",2414,1914,"2025-01-21",NA,"TEMP793"
5536,"event",2264,2074,"2025-01-21",NA,"TEMP794"
5540,"bounds",1714,1474,"2025-01-21",NA,"TEMP795"
5540,"event",1634,1554,"2025-01-21",NA,"TEMP796"
5543,"bounds",9394,5634,"2025-01-21",NA,"TEMP797"
5543,"event",8144,6754,"2025-01-21",NA,"TEMP798"
5547,"bounds",8000,484,"2025-01-26",NA,"TEMP799"
5547,"event",8000,564,"2025-01-26",NA,"TEMP800"
5580,"bounds",10974,-46,"2025-01-26",NA,"TEMP801"
5580,"event",10544,264,"2025-01-26",NA,"TEMP802"
5584,"bounds",9884,9474,"2025-01-21",NA,"TEMP803"
5584,"event",9744,9574,"2025-01-21",NA,"TEMP804"
5585,"bounds",14664,9454,"2025-01-21",NA,"TEMP805"
5585,"event",13044,11024,"2025-01-21",NA,"TEMP806"
5586,"bounds",12944,424,"2025-01-26",NA,"TEMP807"
5586,"event",11754,804,"2025-01-26",NA,"TEMP808"
5588,"bounds",15800,7800,"2025-01-26",NA,"TEMP809"
5588,"event",15200,9100,"2025-01-26",NA,"TEMP810"
5590,"bounds",6364,0,"2025-01-26",NA,"TEMP811"
5590,"event",5904,0,"2025-01-26",NA,"TEMP812"
5593,"bounds",13244,214,"2025-01-26",NA,"TEMP813"
5593,"event",12944,2174,"2025-01-26",NA,"TEMP814"
5594,"bounds",11024,34,"2025-01-26",NA,"TEMP815"
5594,"event",10264,344,"2025-01-26",NA,"TEMP816"
5601,"bounds",17054,11700,"2025-01-26",NA,"TEMP817"
5601,"event",16314,11700,"2025-01-26",NA,"TEMP818"
5602,"bounds",28000,800,"2025-01-26",NA,"TEMP819"
5602,"event",27400,1300,"2025-01-26",NA,"TEMP820"
5603,"bounds",62600,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP821"
5603,"event",42000,15800,"2025-01-26",NA,"TEMP822"
5604,"bounds",41500,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP823"
5604,"event",39200,900,"2025-01-26",NA,"TEMP824"
5606,"bounds",6000,0,"2025-01-26",NA,"TEMP825"
5606,"event",6000,0,"2025-01-26",NA,"TEMP826"
5607,"bounds",16744,6964,"2025-01-21",NA,"TEMP827"
5607,"event",13754,9964,"2025-01-21",NA,"TEMP828"
5608,"bounds",11574,8554,"2025-01-21",NA,"TEMP829"
5608,"event",10594,9524,"2025-01-21",NA,"TEMP830"
5610,"bounds",20094,0,"2025-01-26",NA,"TEMP831"
5610,"event",17424,0,"2025-01-26",NA,"TEMP832"
5611,"bounds",11254,2434,"2025-01-26",NA,"TEMP833"
5611,"event",9954,2994,"2025-01-26",NA,"TEMP834"
5612,"bounds",13564,2804,"2025-01-26",NA,"TEMP835"
5612,"event",11974,3404,"2025-01-26",NA,"TEMP836"
5613,"bounds",12254,2834,"2025-01-26",NA,"TEMP837"
5613,"event",10714,3364,"2025-01-26",NA,"TEMP838"
5614,"bounds",16904,0,"2025-01-26",NA,"TEMP839"
5614,"event",13314,0,"2025-01-26",NA,"TEMP840"
5615,"bounds",15244,1334,"2025-01-26",NA,"TEMP841"
5615,"event",14374,1544,"2025-01-26",NA,"TEMP842"
5616,"bounds",22384,12704,"2025-01-21",NA,"TEMP843"
5616,"event",19034,15994,"2025-01-21",NA,"TEMP844"
5617,"bounds",18054,12514,"2025-01-21",NA,"TEMP845"
5617,"event",16214,14334,"2025-01-21",NA,"TEMP846"
5618,"bounds",14384,10424,"2025-01-21",NA,"TEMP847"
5618,"event",13054,11764,"2025-01-21",NA,"TEMP848"
5619,"bounds",10764,8454,"2025-01-21",NA,"TEMP849"
5619,"event",9984,9234,"2025-01-21",NA,"TEMP850"
5620,"bounds",15094,12624,"2025-01-21",NA,"TEMP851"
5620,"event",14244,13474,"2025-01-21",NA,"TEMP852"
5621,"bounds",15804,9854,"2025-01-21",NA,"TEMP853"
5621,"event",13744,11884,"2025-01-21",NA,"TEMP854"
5622,"bounds",58000,8700,"2025-01-26",NA,"TEMP855"
5622,"event",49200,10800,"2025-01-26",NA,"TEMP856"
5623,"bounds",44200,0,"2025-01-26",NA,"TEMP857"
5623,"event",34500,0,"2025-01-26",NA,"TEMP858"
5625,"bounds",50900,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP859"
5625,"event",40500,0,"2025-01-26",NA,"TEMP860"
5628,"bounds",21000,0,"2025-01-26",NA,"TEMP861"
5628,"event",21000,0,"2025-01-26",NA,"TEMP862"
5640,"bounds",51700,20900,"2025-01-21",NA,"TEMP863"
5640,"event",40700,31200,"2025-01-21",NA,"TEMP864"
5641,"bounds",3374,2454,"2025-01-21",NA,"TEMP865"
5641,"event",3064,2764,"2025-01-21",NA,"TEMP866"
5642,"bounds",20724,12494,"2025-01-21",NA,"TEMP867"
5642,"event",17954,15224,"2025-01-21",NA,"TEMP868"
5643,"bounds",15774,13004,"2025-01-21",NA,"TEMP869"
5643,"event",14854,13924,"2025-01-21",NA,"TEMP870"
5644,"bounds",18034,14514,"2025-01-21",NA,"TEMP871"
5644,"event",16844,15704,"2025-01-21",NA,"TEMP872"
5645,"bounds",17484,12204,"2025-01-21",NA,"TEMP873"
5645,"event",15704,13954,"2025-01-21",NA,"TEMP874"
5646,"bounds",23384,604,"2025-01-21",NA,"TEMP875"
5646,"event",16154,7844,"2025-01-21",NA,"TEMP876"
5647,"bounds",17404,11524,"2025-01-21",NA,"TEMP877"
5647,"event",15454,13474,"2025-01-21",NA,"TEMP878"
